,event,time,stage,section,thrust,mass,lat,lon,lat_IIP,lon_IIP,altitude,altitude_apogee,altitude_perigee,inclination,argument_perigee,lon_ascending _node,true_anomaly,pos_ECI_X,pos_ECI_Y,pos_ECI_Z,vel_ECI_X,vel_ECI_Y,vel_ECI_Z,vel_ground_NED_X,vel_ground_NED_Y,vel_ground_NED_Z,quat_ECI2BODY_0,quat_ECI2BODY_1,quat_ECI2BODY_2,quat_ECI2BODY_3,accel_BODY_X,aero_BODY_X,heading_NED2BODY,pitch_NED2BODY,roll_NED2BODY,vel_inertial,flightpath_vel_inertial_geocentric,azimuth_vel_inertial_geocentric,thrustvec_ECI_X,thrustvec_ECI_Y,thrustvec_ECI_Z,rate_BODY_X,rate_BODY_Y,rate_BODY_Z,vel_ground,vel_air,AOA_total,AOA_pitch,AOA_yaw,dynamic_pressure,Q_alpha,M
0,LIFTOFF,0.0,1,0,351506.46439039987,28053.48550034377,42.505870000005,143.45658999999208,42.505870731974554,143.45659006970567,49.99999970942736,-9668.096166983247,-6372131.866634142,42.314233041297854,-90.000000000007,53.45659000000157,180.0,-3783441.760261135,2804038.1748161884,4287229.238094248,-204.47369246506366,-275.89292966659804,7.033037764439795e-11,3.810011055046473e-11,4.3381343993265234e-11,-6.25200663899084e-11,0.4500098251495636,0.036775778061868464,-0.7061498014925333,0.5454274995532029,12.529867790798846,-2.1502636746222087e-21,130.39069655625784,89.99999879258174,40.39875536956167,343.40413443975285,1.0427796261235294e-11,89.99999999999363,-0.5922773988336066,0.43895705065515733,0.6756657387429248,-2.894866340294401e-21,0.0,0.0,8.510181039213091e-11,8.510181039213091e-11,0.0,0.0,0.0,4.4146628504747036e-21,0.0,2.502242654791925e-13
1,,0.571042,1,0,351510.093568579,27973.036055162986,42.50586999999631,143.45658999962887,42.50587081573203,143.45659006353364,50.446421028114855,-9667.52459578868,-6372131.870482671,42.31423306204384,-90.00046644661566,53.46027404629177,179.9995064819059,-3783558.7844354194,2803880.8219186915,4287229.539725127,-205.39023754025777,-275.21353941555384,1.0587482991541008,-3.0713697763001813e-06,-0.0001580318331984576,-1.5669738787743055,0.4500098251495636,0.036775778061868464,-0.7061498014925333,0.5454274995532029,12.565997505095806,-0.99228944589056,-89.9991938592986,89.99824112723712,179.99919409915003,343.40757548784666,0.26144240205811214,90.00000051244751,-0.5922773988336066,0.43895705065515733,0.6756657387429248,-2.894866340294401e-21,0.0,0.0,1.566973886746198,1.566973886746198,0.004021068673730276,-0.004019496321832285,0.00011244125684221306,1.4966657770046785,0.006018195870957695,0.004607385724069301
2,,2.76843,1,0,351593.1791165196,27663.463954384166,42.50586999982587,143.45658995799175,42.505871389402635,143.45658984087245,60.67194511834532,-9654.32935785409,-6372131.957758961,42.314233543312895,-90.00231975196165,53.47461258717751,179.99754583036395,-3784014.073947231,2803279.013413493,4287236.448747458,-209.03200323774473,-272.5120872343531,5.264981896630936,-1.4525354386063505e-05,-0.0037528385934673114,-7.792303653953323,0.4500098251495636,0.036775778061868464,-0.7061498014925333,0.5454274995532029,12.708772313509579,-24.514317271890853,-89.99609123055957,89.99147296088601,179.9960935703551,343.4893536935025,1.2999075842002272,90.00000242352705,-0.5922773988336066,0.43895705065515733,0.6756657387429248,-1.1964904683169926e-21,0.0,0.0,7.792304557666033,7.792304557666033,0.01906738775234948,-0.019067070531669863,0.00010998549567423237,36.97483750325991,0.7050135637547703,0.022914420664499367
3,,5.835904,1,0,351900.3636815286,27231.312530729738,42.50586999922438,143.45658960228388,42.50587307095121,143.4565883786232,98.56566428486258,-9604.762512749061,-6372132.275819658,42.31423536604845,-90.00506845452419,53.49507625299022,179.99463919708506,-3784663.460546023,2802449.168518538,4287262.052185954,-214.43250635152242,-268.5009075464636,11.500951883225836,-2.7819745113677463e-05,-0.01692140258421926,-17.021689472867436,0.4500098251495636,0.036775778061868464,-0.7061498014925333,0.5454274995532029,12.918356896990637,-116.54963606854905,-89.99176033674152,89.98202506460838,179.9917652812936,343.81144400338184,2.837804970943897,90.00000464182067,-0.5922773988336066,0.43895705065515733,0.6756657387429248,-3.462057524081362e-28,0.0,0.0,17.02169788374138,17.02169788374138,0.038983374119326286,-0.03898322608548836,0.00010743640117155639,175.79132112704238,6.8529388384261205,0.05007624862243304
4,,8.602401,1,0,352378.515739725,26841.563323959377,42.50586999842888,143.45658871345285,42.5058756827569,143.45658484658117,157.8268441008404,-9526.044211217202,-6372132.764228805,42.314238287446614,-90.00771820993951,53.51400351641383,179.99183945765654,-3785263.810785816,2801711.6579117225,4287302.092869647,-219.63642170201973,-264.63098177189573,17.508173227195208,-3.467641546572864e-05,-0.03725892944113651,-25.91251529791639,0.4500098251495636,0.036775778061868464,-0.7061498014925333,0.5454274995532029,13.118086597275258,-268.56364977828594,-89.98785482646984,89.97350460418255,179.98786162156892,344.3490240749614,4.315628763716349,90.00000578616883,-0.5922773988336066,0.43895705065515733,0.6756657387429248,-2.134936723191637e-35,0.0,0.0,25.912542084746857,25.912542084746857,0.05588871458318613,-0.05588861411451857,0.0001059772913338121,405.07341803299494,22.639032645681695,0.07628339990910088
5,KICKTURN,10.0,1,0,352695.5971703179,26644.667048203188,42.505869997987276,143.45658796876128,42.50587745233193,143.45658187085166,197.31325512658805,-9472.998463039286,-6372133.085473805,42.314240269164635,-90.00912154451596,53.523743474315054,179.99035782492194,-3785572.689334971,2801343.2350871563,4287328.7724485565,-222.39120172633045,-262.5807854298719,20.687526338319802,-3.547347454269101e-05,-0.05069074090538761,-30.618027974801993,0.4500098251495636,0.036775778061868464,-0.7061498014925333,0.5454274995532029,13.222986151221408,-373.53378802174547,-89.98588203362671,89.96920039541281,179.9858895220771,344.72378686166775,5.095669667239933,90.00000591936251,-0.5922773988336066,0.43895705065515733,0.6756657387429248,0.0,0.0,0.0,30.618069936203188,30.618069936203188,0.06405837256543978,-0.06405828564020527,0.00010553115842492847,563.3993980005614,36.090448540264454,0.09017621784818373
6,,10.0,1,1,352695.5971703179,26644.667048203188,42.505869997987276,143.45658796876128,42.50587745233193,143.45658187085166,197.31325512658805,-9472.998463039286,-6372133.085473805,42.314240269164635,-90.00912154451595,53.52374347431504,179.99035782492194,-3785572.689334971,2801343.2350871563,4287328.7724485565,-222.39120172633045,-262.5807854298719,20.687526338319724,-3.547347459909034e-05,-0.05069074090538894,-30.61802797480194,0.45000982514956356,0.03677577806186853,-0.7061498014925346,0.5454274995532034,13.222986151221408,-373.5337880217442,-89.98588203367402,89.96920039541281,179.98588952202974,344.72378686166775,5.095669667239924,90.00000591936252,-0.5922773988336079,0.43895705065515656,0.6756657387429246,-5.612805891193611e-50,0.0,0.0,30.61806993620314,30.618069936203135,0.06405837257112934,-0.0640582856402785,0.0001055311585015909,563.3993980005595,36.09044854346982,0.09017621784818357
7,,10.571042,1,1,352840.09097183077,26564.217603022407,42.50586999777427,143.45658767676505,42.50587826530178,143.45658503568117,215.35733025427908,-9448.623444885947,-6372132.002709708,42.31424118096061,-90.00970130970383,53.52775121207336,179.98973805124558,-3785700.015828316,2801193.5291211554,4287340.964194463,-223.56264612881665,-261.75242116102584,22.015263651337527,-5.3786413235501485e-05,-0.021704215736668697,-32.58312807899738,0.44673324026322236,0.03930247459603482,-0.7082272212520341,0.5452512545710233,13.266636754737366,-422.265358732355,90.0308147252717,89.50162726706981,0.0009744765048012555,344.9337016897819,5.420355558092833,90.00000897440994,-0.5977694550687392,0.4314935546816312,0.6756367299481525,-9.498893751363697e-51,-0.9297582827514599,0.0,32.58313530782792,32.58313530782792,0.5365384467137112,-0.5365384362470819,0.00010598632149054614,636.928471627831,341.7366128349345,0.09598334281374092
8,,12.76843,1,1,353478.3888903631,26254.6455022436,42.505869992812514,143.45659504401763,42.505881815788435,143.45671267022567,295.44599504303187,-9339.57584713865,-6372104.719673358,42.31424522046217,-90.01183892231094,53.543185786511884,179.98725671058173,-3786196.6473136214,2800621.51213384,4287395.076954976,-228.59640980487478,-258.9966707727715,27.276100954738062,-0.0005912560754604002,0.7481157283077433,-40.369868225075585,0.4340360072442528,0.049016935759512846,-0.7160789965471194,0.544463915361018,13.43896025741286,-643.2514132480474,90.03632779914082,87.46536103864,0.0002796241078686497,346.52500592359956,6.690101211568126,90.0000984307932,-0.6184201688491789,0.40243389147797437,0.6749840425894871,0.0,-0.9297582827514599,0.0,40.37679950172491,40.37679950172491,1.4729812830970115,-1.472981274546838,0.0001587785414482667,970.5327102574419,1429.5765168426267,0.11905000928093253
9,,15.835904,1,1,354591.79848724126,25822.494078589167,42.50586994570663,143.4566697804395,42.505887645518825,143.4573766132502,436.6546643935144,-9144.633300283924,-6372003.384382818,42.3142521698746,-90.01433472026618,53.56451823509987,179.98351027033254,-3786910.367278183,2799831.4817980793,4287490.482957025,-237.02264232393082,-256.34222493575385,34.999609357708735,-0.0032881755136399127,3.6088114967354676,-51.80377138657879,0.41608130864739135,0.06255123452099633,-0.7266586058634104,0.5430754626952504,13.691249282664572,-1049.5949571472156,90.04496043954812,84.62285475845086,0.00020296667278124693,350.87895621485035,8.49018615898829,90.00054288261293,-0.6459273753093535,0.36102031267990403,0.6726382085924604,0.0,-0.9297582827514599,0.0,51.92931985982475,51.92931985982475,1.3921798403389318,-1.3921797510936218,0.0004986846725729424,1583.5623228434251,2204.6035417829075,0.1533583912225746
