RLV Sizing
LEO Mission
lng_LS=, 1.434567840000000e+002,latg_LS=, 4.250403800000000e+001,g0=, 9.806649999999999e+000,GM=, 3.986009017000000e+014,Re=, 6.378142000000000e+003,Rp=, 6.356757000000000e+003,Omega=, 4.178074625000000e-003,EularL1L2[0]=, 0.000000000000000e+000,EularL1L2[1]=, 0.000000000000000e+000,EularL1L2[2]=, 1.150000000000000e+002,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Payload.Weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp,TAIKI-SEIKA.Range,TAIKI-SEIKA.Tlookang,Rou,Ta,
Start, 0.000000000000000e+000, 5.000000000031816e-002, 0.000000000000000e+000, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.089784629970000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.089784629970000e+004, 4.784629970000000e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 0.000000000000000e+000, 0.000000000000000e+000, 1.219135556295125e+000, 1.467500255630915e+001,
LIFTOFF, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.089784629970000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 8.980836148281499e+001, 3.599999999999905e+002,-1.150000000000095e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.089784629970000e+004, 4.784629970000000e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.215407708215528e+002, 8.944824557643275e+001, 1.219135556295125e+000, 1.467500255630915e+001,
, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840697174e+002, 4.250403873198476e+001,-9.667557680982100e+000,-6.372136501254286e+003, 4.231239948281014e+001, 2.700000000000000e+002, 5.345678400000001e+001, 1.800000000000000e+002, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.089784629970000e+004, 4.950000000000000e+005, 3.789638821111965e+005, 8.980836148281499e+001, 3.599999999999905e+002,-1.150000000000095e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.226505816733498e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.089784629970000e+004, 4.784629970000000e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.215407708215528e+002, 8.944824557643275e+001, 1.219135556295125e+000, 1.467500255630915e+001,
, 1.000000000000000e+000, 5.124138057522616e-002, 1.714030218023075e-004, 1.434567839981194e+002, 4.250403799951411e+001, 1.434567840498611e+002, 4.250403887888067e+001,-9.665999380711583e+000,-6.372136512827068e+003, 4.231239953899731e+001, 2.699992512648052e+002, 5.346303663313552e+001, 1.799992146280134e+002, 3.434231265073680e+002, 4.160211481046974e-001, 8.999860346286380e+001, 3.073658127560284e+004, 4.950000000000000e+005, 3.789809782463865e+005, 8.980833669215171e+001, 3.590791646311517e+002,-1.159236530997611e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.232988686304724e+001, 3.789763332120740e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.331918985950366e-003, 2.493566483041298e+000, 2.493566483041298e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777322808439356e+000,-7.737566661137534e+000,-1.456518724651773e+001,-1.465462430751676e-001,-5.417064489343535e-001,-8.771304440655235e-001, 3.073658127560284e+004, 4.784629970000000e+001,-2.591838124915488e-005, 3.550517785501060e-002, 0.000000000000000e+000, 3.765125865651251e+000, 0.000000000000000e+000, 1.606248809503077e+001, 1.229733631099827e+001, 2.166773497590284e+004, 4.683000000000000e+003, 1.215407827664894e+002, 8.944767147608708e+001, 1.218990108439256e+000, 1.466693371108164e+001,
, 2.000000000000000e+000, 5.500901925083532e-002, 1.840539917439696e-004, 1.434567839848981e+002, 4.250403800157415e+001, 1.434567839733465e+002, 4.250403909672966e+001,-9.661247380494388e+000,-6.372136547710039e+003, 4.231239971084448e+001, 2.699984829273499e+002, 5.346934372338620e+001, 1.799984085796644e+002, 3.434500438530202e+002, 8.429538891206717e-001, 8.999717025904931e+001, 3.057531625150569e+004, 4.950000000000000e+005, 3.790328531569339e+005, 8.980826234097394e+001, 3.581588083011182e+002,-1.168468271530653e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.239637111239554e+001, 1.555521633608158e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.485753472949774e-002, 5.052793751893102e+000, 5.052793751893102e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777198639862357e+000,-7.737441550562425e+000,-1.456512177313415e+001,-1.321778130821070e-001,-5.399304218097903e-001,-8.760301228892411e-001, 3.057531625150569e+004, 4.784629970000000e+001,-2.122506809817018e-004, 1.432591320729605e-001, 0.000000000000000e+000, 7.548935161078945e+000, 0.000000000000000e+000, 3.220947298594689e+001, 2.466032557418696e+001, 2.150646995180569e+004, 4.683000000000000e+003, 1.215408190957407e+002, 8.944590667651993e+001, 1.218548750132996e+000, 1.464244446901824e+001,
, 3.000000000000000e+000, 6.136941524928472e-002, 2.054419942363555e-004, 1.434567839488367e+002, 4.250403800154763e+001, 1.434567838081984e+002, 4.250403939858477e+001,-9.653182467068291e+000,-6.372136606157086e+003, 4.231240000345615e+001, 2.699976944505078e+002, 5.347570669478061e+001, 1.799975813305344e+002, 3.434967133478389e+002, 1.281029453901456e+000, 8.999569942218932e+001, 3.041405122740853e+004, 4.950000000000000e+005, 3.791203838126364e+005, 8.980813848971395e+001, 3.572394085587667e+002,-1.177690446033085e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.246455329145385e+001, 3.590857532344953e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.258248736140234e-002, 7.679366541794555e+000, 7.679366541794555e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776989019465504e+000,-7.737230343057861e+000,-1.456501124356772e+001,-1.079215265068212e-001,-5.369321972598078e-001,-8.741726051034416e-001, 3.041405122740853e+004, 4.784629970000000e+001,-7.332608781885044e-004, 3.251458422375959e-001, 0.000000000000000e+000, 1.135047059708117e+001, 0.000000000000000e+000, 4.844184836770925e+001, 3.709064450974988e+001, 2.134520492770853e+004, 4.683000000000000e+003, 1.215408806872628e+002, 8.944291983272336e+001, 1.217803943053879e+000, 1.460110265190968e+001,
, 4.000000000000000e+000, 7.039077359946072e-002, 2.358910507029900e-004, 1.434567838782575e+002, 4.250403800155560e+001, 1.434567835174543e+002, 4.250403979624434e+001,-9.641680503402313e+000,-6.372136688431621e+003, 4.231240042218073e+001, 2.699968852852704e+002, 5.348212700779733e+001, 1.799967323410019e+002, 3.435647124662098e+002, 1.730478344284375e+000, 8.999418996125854e+001, 3.025278620331137e+004, 4.950000000000000e+005, 3.792444421082059e+005, 8.980796523756625e+001, 3.563214399846531e+002,-1.186898308620625e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.253447601078024e+001, 6.548591999273901e+001, 2.934598070071401e-002,-2.687072809504354e-002, 1.179621107543304e-002, 1.921748544275421e+000, 3.051260260719515e-002, 1.037501228794599e+001, 1.037501228794599e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776691696783069e+000,-7.736930773721381e+000,-1.456485447288892e+001,-7.351727244387607e-002,-5.326796279287281e-001,-8.715379779042866e-001, 3.025278620331137e+004, 4.784629970000000e+001,-1.779070085625094e-003, 5.830838082867036e-001, 1.865863465651970e-007, 1.516873072699764e+001, 0.000000000000000e+000, 6.476052218917012e+001, 4.959001233511067e+001, 2.118393990361138e+004, 4.683000000000000e+003, 1.215409686125951e+002, 8.943867879715474e+001, 1.216748135242483e+000, 1.454246503805393e+001,
, 5.000000000000000e+000, 8.214304795831375e-002, 2.758220576728539e-004, 1.434567837612987e+002, 4.250403800388400e+001, 1.434567830589619e+002, 4.250404030001224e+001,-9.626612207489416e+000,-6.372136794806896e+003, 4.231240097262253e+001, 2.699960548670836e+002, 5.348860615960427e+001, 1.799958610597240e+002, 3.436557100760166e+002, 2.191529549830866e+000, 8.999264086040853e+001, 3.009152117921422e+004, 4.950000000000000e+005, 3.794058930690645e+005, 8.980774272210586e+001, 3.554053727357284e+002,-1.196087157643948e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.260618206716467e+001, 1.049469524506833e+002, 3.626303921051526e-002,-3.313727740807283e-002, 1.472850825821694e-002, 3.805695451743210e+000, 3.865389666556310e-002, 1.314150134145346e+001, 1.314150134145346e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776304363795495e+000,-7.736540519702245e+000,-1.456465024584825e+001,-2.869829150745240e-002,-5.271397440016947e-001,-8.681058190611619e-001, 3.009152117921422e+004, 4.784629970000000e+001,-3.556495730144514e-003, 9.190251226144639e-001, 2.256944375277040e-006, 1.900266879799174e+001, 0.000000000000000e+000, 8.116641695781539e+001, 6.216019097548455e+001, 2.102267487951422e+004, 4.683000000000000e+003, 1.215410841524753e+002, 8.943315059973591e+001, 1.215373771755210e+000, 1.446607708769989e+001,
, 6.000000000000000e+000, 9.669798361033297e-002, 3.257562067443898e-004, 1.434567835859090e+002, 4.250403800530136e+001, 1.434567823870743e+002, 4.250404091895494e+001,-9.607842922936470e+000,-6.372136925566312e+003, 4.231240166065439e+001, 2.699952026179650e+002, 5.349514568426012e+001, 1.799949669213668e+002, 3.437714705526903e+002, 2.664409692514362e+000, 8.999105107882819e+001, 2.993025615511706e+004, 4.950000000000000e+005, 3.796055929373539e+005, 8.980747111880774e+001, 3.544916711240113e+002,-1.205252349901610e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.267971439309825e+001, 1.549746015987551e+002, 4.301859524297014e-002,-3.925696624303514e-002, 1.759233730325355e-002, 6.666789659117398e+000, 4.701258122795085e-002, 1.598064713600355e+001, 1.598064713600355e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775824653520333e+000,-7.736057198783401e+000,-1.456439731613434e+001, 2.680895928420606e-002,-5.202787331464003e-001,-8.638551845032331e-001, 2.993025615511706e+004, 4.784629970000000e+001,-6.289907198597863e-003, 1.334954331270646e+000, 5.293363262529363e-006, 2.285119330715289e+001, 0.000000000000000e+000, 9.766047005269461e+001, 7.480298522502942e+001, 2.086140985541706e+004, 4.683000000000000e+003, 1.215412288134300e+002, 8.942630142779395e+001, 1.213673306164679e+000, 1.437147266757785e+001,
, 7.000000000000000e+000, 1.141291606264127e-001, 3.863047170194236e-004, 1.434567833398414e+002, 4.250403800750846e+001, 1.434567814533488e+002, 4.250404166131643e+001,-9.585232381165042e+000,-6.372137081003739e+003, 4.231240249243067e+001, 2.699943279453685e+002, 5.350174715287661e+001, 1.799940493476158e+002, 3.439138579373135e+002, 3.149342096516576e+000, 8.998941955063044e+001, 2.976899113101991e+004, 4.950000000000000e+005, 3.798443871348194e+005, 8.980715064035341e+001, 3.535807922398672e+002,-1.214389314407559e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.275511600413204e+001, 2.162744557146635e+002, 4.961459229509275e-002,-4.523176437070346e-002, 2.038861461571286e-002, 1.073036894412612e+001, 5.559506865075627e-002, 1.889430630306619e+001, 1.889430630306619e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775250138599200e+000,-7.735478367959419e+000,-1.456409440563000e+001, 9.328492808695196e-002,-5.120619204259198e-001,-8.587645958804364e-001, 2.976899113101991e+004, 4.784629970000000e+001,-1.022209360738882e-002, 1.832887067388983e+000, 9.459834612156615e-006, 2.671316621638902e+001, 0.000000000000000e+000, 1.142436340458040e+002, 8.752024285639473e+001, 2.070014483131991e+004, 4.683000000000000e+003, 1.215414043454083e+002, 8.941809660597298e+001, 1.211639212941435e+000, 1.425817377465108e+001,
