RLV Sizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lng_LS=,143.456784,latg_LS=,42.504038,g0=,9.806650135,GM=,3.98601E+14,Re=,6378.142,Rp=,6356.757,Omega=,0.004178075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp
,87,19.55885137,9.505963903,143.5707616,42.48899371,144.3344114,42.36594465,27.68412472,-6347.192023,42.68903845,277.4074566,44.47034473,179.5780791,972.5711405,37.09899529,96.40087868,16891.42059,495000,488174.3666,54.66345455,102.0016367,5.418709004,0.190052293,0.144108683,-0.837422363,0.491768847,27.04726244,24949.58203,0.506951618,0.506497222,0.021460529,12648.23097,2.452654497,730.3412004,723.7037845,0,-0.365262626,0.000407006,-7.161194797,-7.086119226,-14.217146,38.57727052,8.404263161,5.044869274,16891.42059,-89.10421768,321.1250711,0.004877079,236.171984,0,1855.947163,1530.669727,7798.943097,4683
,88,20.15143709,9.947249116,143.576024,42.48818477,144.3826803,42.35759922,29.05863972,-6345.915962,42.70282647,277.5532494,44.30591833,179.5601611,992.6188627,37.12880467,96.51957996,16730.15557,495000,488779.6098,54.3067668,101.9505104,5.372314767,0.187380287,0.145672496,-0.838024415,0.491307676,27.43193356,24034.52639,0.688991215,0.688415684,0.028158356,16559.57753,2.521652202,749.7695877,744.2135917,0,-0.365262626,0.000407006,-7.142941637,-7.066222791,-14.20637718,38.91834661,8.661616505,5.234132284,16730.15557,-90.92488116,327.0122473,0.006479285,236.559745,0,1885.392766,1557.906784,7637.678075,4683
,89,20.75662902,10.40435294,143.5814742,42.48734494,144.4331503,42.34885585,30.4781177,-6344.582451,42.71647747,277.6965712,44.14606099,179.5414715,1013.099621,37.15508883,96.63534404,16568.89055,495000,489341.374,53.95019489,101.9004891,5.326921542,0.184706377,0.147234828,-0.838617952,0.490841512,27.83637654,23051.30524,0.856397169,0.855733555,0.033712489,19741.07255,2.589217177,769.6359378,765.2132971,0,-0.365262626,0.000407006,-7.124324131,-7.045899503,-14.19537171,39.24381973,8.923218517,5.42810133,16568.89055,-92.66519851,332.9020751,0.009170216,236.9162101,0,1915.12358,1585.540624,7476.413053,4683
,90,21.37465848,10.87764242,143.5871166,42.4864736,144.4859144,42.33969595,31.94412424,-6343.18878,42.72997917,277.8375253,43.99068575,179.5219761,1034.022846,37.17791578,96.74822947,16407.62553,495000,489861.2485,53.59374294,101.8515463,5.282499938,0.18203059,0.148795665,-0.839202968,0.490370362,28.24455419,22063.96743,1.009788088,1.009066012,0.0381886,22279.93149,2.658209525,789.949339,786.7120197,0,-0.365262626,0.000407006,-7.105336357,-7.025141609,-14.18412526,39.55397562,9.189065867,5.626898964,16407.62553,-94.31922669,338.7940593,0.013127582,237.2433638,0,1945.145183,1613.580782,7315.148031,4683
,91,22.00575746,11.36749068,143.5929557,42.48557017,144.5410574,42.33010196,33.45795531,-6341.732414,42.74331742,277.9761871,43.83973755,179.501645,1055.392378,37.19725752,96.85827315,16246.36051,495000,490341.469,53.23741503,101.8036564,5.239021716,0.179352954,0.15035499,-0.839779458,0.489894229,28.6563737,21075.85264,1.149766502,1.149012302,0.041649354,24232.30936,2.728627793,810.7130501,808.7130933,0,-0.365262626,0.000407006,-7.085972424,-7.003941341,-14.17263347,39.84911206,9.459149258,5.830650317,16246.36051,-95.88710666,344.6877041,0.018477589,237.5431252,0,1975.463321,1642.030946,7153.883009,4683
,92,22.65015727,11.87427589,143.598996,42.48463401,144.5986666,42.32005566,35.02092337,-6340.210729,42.75647916,278.112635,43.69315834,179.4804476,1077.211951,37.2130922,96.9655141,16085.09548,495000,490784.23,52.88121531,101.7567953,5.196459726,0.176673495,0.151912788,-0.840347416,0.489413119,29.07175441,20090.29699,1.276914948,1.276151818,0.044154398,25653.60055,2.800470109,831.9302604,831.2198229,0,-0.365262626,0.000407006,-7.066226515,-6.982290954,-14.16089198,40.12953644,9.733452579,6.039482705,16085.09548,-97.36932115,350.5825109,0.025301094,237.8173345,0,2006.08391,1670.894716,6992.617987,4683
,93,23.30808832,12.39838133,143.6052421,42.48366452,144.6588316,42.30953798,36.63436897,-6338.620992,42.76945246,278.2469514,43.5508863,179.4583519,1099.485402,37.22540688,97.06999402,15923.83046,495000,491191.6794,52.52514791,101.7109397,5.15478786,0.173992242,0.153469042,-0.840906835,0.488927037,29.49182572,19082.36681,1.338131598,1.33665118,0.062949756,25534.71799,2.871610827,853.6043012,853.6043012,0,-0.365262626,0.000407006,-7.046092898,-6.960182741,-14.14889646,40.39556423,10.01195261,6.253525652,15923.83046,-98.76649305,356.4779783,0.033524556,238.0677528,0,2037.013044,1700.175819,6831.352965,4683
,94,23.97978104,12.940196,143.6116986,42.48266104,144.7216484,42.29852845,38.29975057,-6336.960278,42.78222714,278.3792289,43.41284933,179.4353236,1122.218161,37.23421747,97.17176182,15762.56544,495000,491565.9137,52.16921702,101.6660674,5.113980999,0.17130922,0.155023736,-0.841457711,0.488435986,29.9163467,18056.45109,1.330431038,1.326682785,0.099833153,24022.86297,2.941621627,875.7401976,875.7401976,0,-0.365262626,0.000407006,-7.025565895,-6.937608998,-14.13664257,40.64751791,10.29461913,6.472911201,15762.56544,-100.0778801,362.3736058,0.04194006,238.2960686,0,2068.257006,1729.87966,6670.087944,4683
,95,24.66546555,13.50011452,143.6183701,42.48162294,144.7872106,42.28700652,40.01842649,-6335.225672,42.794793,278.5095526,43.27898391,179.4113293,1145.413473,37.23951369,97.27086065,15601.30042,495000,491908.9736,51.81342682,101.6221572,5.07401497,0.168624459,0.156576856,-0.842000037,0.487939973,30.34318171,17049.73316,1.317240668,1.310322341,0.134874091,22458.60189,3.012892589,898.3407344,898.3407344,0,-0.365262626,0.000407006,-7.004639899,-6.914562034,-14.12412598,40.88572543,10.58141455,6.697773887,15601.30042,-101.3052187,368.2688935,0.05031543,238.5038814,0,2099.822271,1760.00939,6508.822922,4683
,96,25.36536971,14.07853563,143.6252616,42.48054957,144.8556091,42.27495171,41.79163757,-6333.414296,42.80713998,278.6380008,43.14923345,179.3863374,1169.072309,37.24126357,97.36732901,15440.0354,495000,492222.8382,51.45778153,101.5791889,5.0348665,0.165937983,0.158128384,-0.842533808,0.487439003,30.77026083,16064.79384,1.298783149,1.287858847,0.168155591,20864.68354,3.085412248,921.4063861,921.4063861,0,-0.365262626,0.000407006,-6.98330943,-6.891034244,-14.11134238,41.11051815,10.87229287,6.928250126,15440.0354,-102.4528416,374.1633385,0.05858208,238.6927091,0,2131.715515,1790.565835,6347.5579,4683
,97,26.07971826,14.67586157,143.6323777,42.47944028,144.9269395,42.26234227,43.62070488,-6331.523099,42.81925952,278.7646603,43.02353263,179.360314,1193.196781,37.23945972,97.46121155,15278.77037,495000,492509.4214,51.10228538,101.5371431,4.996513176,0.163249822,0.159678306,-0.843059019,0.48693308,31.20069723,15104.09271,1.275300938,1.259569413,0.199757559,19262.2636,3.15917301,944.9388484,944.9388484,0,-0.365262626,0.000407006,-6.961569168,-6.867018129,-14.09828752,41.32222959,11.16719912,7.164477974,15278.77037,-103.5241622,380.0564344,0.066674625,238.8639908,0,2163.943626,1821.55103,6186.292878,4683
,98,26.80873434,15.29249927,143.6397234,42.4782944,145.0013026,42.24915498,45.50704784,-6329.548844,42.83114458,278.8896265,42.9018083,179.3332229,1217.790307,37.23411771,97.5525584,15117.50535,495000,492770.5695,50.74694259,101.4960013,4.958933402,0.160560002,0.161226606,-0.843575664,0.486422209,31.63459594,14169.92775,1.247053352,1.225718642,0.229756559,17670.6559,3.234171657,968.9411997,968.9411997,0,-0.365262626,0.000407006,-6.939413903,-6.842506253,-14.08495719,41.52119496,11.46606977,7.406597649,15117.50535,-104.5215184,385.9476759,0.07453188,239.0190874,0,2196.513712,1852.968383,6025.027856,4683
,99,27.55263983,15.92886063,143.6473035,42.47711126,145.0788023,42.23536555,47.45211506,-6327.488163,42.84278902,279.0129968,42.78398551,179.3050266,1242.856402,37.22525893,97.64142112,14956.24033,495000,493008.0583,50.39175743,101.4557458,4.92210637,0.157868551,0.162773267,-0.844083738,0.485906397,32.07209362,13264.36564,1.214318118,1.186560552,0.258226006,16107.15952,3.310405136,993.4166494,993.4166494,0,-0.365262626,0.000407006,-6.916838531,-6.817491227,-14.07134718,41.7077503,11.76883273,7.654751655,14956.24033,-105.4474322,391.8365599,0.082097771,239.1592833,0,2229.433106,1884.821421,5863.762834,4683
,100,28.3097588,16.58378981,143.6551043,42.47589305,145.1407801,42.22429941,48.99177884,-6325.836565,42.85163022,279.1073154,42.69545705,179.2845566,1261.173385,37.13707704,97.71032995,14830.81198,275000,273223.0831,50.03672005,101.416347,4.886012025,0.155175496,0.164318275,-0.844583237,0.485385647,17.60694177,12212.90996,1.186909818,1.151626023,0.287327128,14495.62273,3.363196415,1010.947449,1010.947449,0,-0.365262626,0.000407006,-6.893895659,-6.792029414,-14.05748793,41.88174611,12.07464078,7.908450472,14830.81198,-106.3017644,397.719147,0.087745295,239.2856969,0,2255.283429,1909.690783,5738.334484,4683
,101,29.07267604,17.25132058,143.6630547,42.4746507,145.185656,42.21626732,50.09268047,-6324.634274,42.85780755,279.1735027,42.63409091,179.2724107,1272.558979,36.97285086,97.76068244,14741.2203,275000,273415.6294,49.68177728,101.3777377,4.850631128,0.152480864,0.165861613,-0.845074153,0.484859966,17.80921842,11077.69235,1.167607833,1.123588497,0.317661253,12934.40037,3.392129972,1021.357624,1021.357624,0,-0.365262626,0.000407006,-6.87081187,-6.76636993,-14.04351462,42.04176663,12.38035881,8.165270087,14741.2203,-107.0780681,403.581472,0.091647198,239.3992084,0,2273.88214,1927.399491,5648.742805,4683
,102,29.83959173,17.93009293,143.6711384,42.47338672,145.2316452,42.20802835,51.20705784,-6323.394929,42.86391923,279.2393562,42.57377442,179.2599258,1284.175609,36.80896087,97.81041334,14651.62862,275000,273587.5755,49.32691739,101.3398883,4.81594522,0.149784683,0.167403266,-0.845556484,0.484329358,18.00440619,10048.60002,1.14833274,1.09457399,0.347324852,11539.1364,3.421734974,1032.005256,1032.005256,0,-0.365262626,0.000407006,-6.847642707,-6.740573248,-14.02945999,42.18806908,12.68517147,8.424642158,14651.62862,-107.7808093,409.4201044,0.095447849,239.5010282,0,2292.594232,1945.306858,5559.151126,4683
,103,30.61058819,18.62031122,143.6793579,42.4721008,145.2787508,42.19958101,52.33456826,-6322.118022,42.86996002,279.3048509,42.51454046,179.2471044,1296.016883,36.64531446,97.8595012,14562.03694,275000,273741.107,48.97214271,101.3027824,4.781936493,0.14708698,0.168943218,-0.846030224,0.48379383,18.19333856,9115.369455,1.129069897,1.064540541,0.376320928,10291.88925,3.45198532,1042.883779,1042.883779,0,-0.365262626,0.000407006,-6.824386532,-6.714636622,-14.01532244,42.32136269,12.98902749,8.686626503,14562.03694,-108.4168507,415.2350397,0.099147815,239.5923465,0,2311.421096,1963.406219,5469.559447,4683
,104,31.38574107,19.32217699,143.6877156,42.4707926,145.3269776,42.1909235,53.47490701,-6320.802998,42.87592529,279.3699672,42.45641574,179.2339488,1308.077165,36.48183169,97.90792881,14472.44526,275000,273878.1773,48.61745552,101.2664042,4.74858776,0.144387783,0.170481454,-0.846495367,0.483253386,18.37676848,8268.814268,1.109816216,1.033449788,0.404653662,9176.864164,3.482857691,1053.987414,1053.987414,0,-0.365262626,0.000407006,-6.801041934,-6.688557532,-14.00110049,42.44230754,13.29187137,8.951281414,14472.44526,-108.9924093,421.0262619,0.10274767,239.6742332,0,2330.36415,1981.691702,5379.967769,4683
,105,32.16511996,20.03588926,143.6962139,42.46946181,145.3763309,42.18205382,54.6277963,-6319.449264,42.88181089,279.43469,42.39942178,179.2204604,1320.351396,36.31844285,97.95568244,14382.85359,275000,274000.5234,48.26285806,101.2307383,4.715882421,0.141687119,0.172017958,-0.84695191,0.482708032,18.55470203,7500.5761,1.090581014,1.001266846,0.432328281,8179.985885,3.514286848,1065.310974,1065.310974,0,-0.365262626,0.000407006,-6.77760771,-6.662333665,-13.98679275,42.55151901,13.59364374,9.218663811,14382.85359,-109.5132325,426.7937453,0.106248062,239.7476501,0,2349.424835,2000.158037,5290.37609,4683
,106,32.94878868,20.76164469,143.7048551,42.46810813,145.4268171,42.17296984,55.79297909,-6318.056199,42.8876131,279.4990075,42.34357567,179.2066403,1332.834991,36.15508677,98.00275144,14293.26191,275000,274109.4112,47.90835255,101.1957702,4.683804446,0.138985015,0.173552713,-0.847399848,0.482157774,18.72939927,6764.736025,1.071386949,0.967960229,0.459350926,7247.649891,3.535599289,1076.849767,1076.849767,0,-0.365262626,0.000407006,-6.754082852,-6.635962904,-13.97239795,42.6495717,13.8942816,9.488829282,14293.26191,-109.9846845,432.5374555,0.109649795,239.8134698,0,2368.604622,2018.800457,5200.784411,4683
,107,33.73680633,21.49963838,143.7136416,42.46673123,145.478445,42.16366879,56.97026946,-6316.623084,42.89332888,279.5629142,42.28888816,179.1924881,1345.524604,35.99171731,98.04912947,14203.67023,275000,274206.0575,47.55394116,101.1614857,4.652338344,0.136281499,0.175085706,-0.847839176,0.481602617,18.90000868,6105.210374,1.052269831,0.933500641,0.485728156,6424.328688,3.557394301,1088.600371,1088.600371,0,-0.365262626,0.000407006,-6.730466517,-6.609443294,-13.95791491,42.73700298,14.19371883,9.761832374,14203.67023,-110.4109389,438.2573511,0.112953892,239.8725018,0,2387.905009,2037.615474,5111.192732,4683
,108,34.5292274,22.25006386,143.7225757,42.46533082,145.5312226,42.15414814,58.15945536,-6315.149223,42.89895533,279.6264051,42.23536858,179.178004,1358.416608,35.82828885,98.09481115,14114.07855,275000,274291.8854,47.19962606,101.1278711,4.621469148,0.133576598,0.176616919,-0.84826989,0.481042566,19.06716457,5513.56792,1.033281213,0.897862316,0.511467464,5697.066147,3.579651941,1100.559083,1100.559083,0,-0.365262626,0.000407006,-6.706758025,-6.582773036,-13.94334252,42.81431611,14.49188639,10.03772659,14114.07855,-110.7965577,443.9533843,0.116161682,239.9254731,0,2407.327522,2056.599324,5021.601053,4683
,109,35.32610205,23.01311319,143.7316597,42.46390658,145.5851589,42.14440503,59.36035366,-6313.63387,42.90448995,279.6894786,42.18302251,179.1631876,1371.507953,35.66476368,98.13979369,14024.48687,275000,274368.1463,46.84540935,101.0949132,4.591182386,0.13087034,0.178146338,-0.848691985,0.480477628,19.23143192,4982.381764,1.0144885,0.86102203,0.536576799,5054.569002,3.602354634,1112.722787,1112.722787,0,-0.365262626,0.000407006,-6.682956847,-6.555950484,-13.92867975,42.88198301,14.78871248,10.31656439,14024.48687,-111.1456145,449.6255023,0.119274878,239.9730299,0,2426.873716,2075.748841,4932.009374,4683
,110,36.12747653,23.78897734,143.7408958,42.46245823,145.640264,42.13443638,60.5728068,-6312.076234,42.90993063,279.7521359,42.13185228,179.1480378,1384.796101,35.50111097,98.1840765,13934.89519,275000,274435.9417,46.49129314,101.0625993,4.561464067,0.128162752,0.179673947,-0.849105457,0.479907809,19.39331517,4505.098387,0.995975991,0.822958931,0.56106448,4486.969831,3.625486895,1125.088896,1125.088896,0,-0.365262626,0.000407006,-6.659062593,-6.528974121,-13.91392566,42.94044679,15.08412289,10.5983973,13934.89519,-111.4617505,455.2736472,0.122295655,240.0157466,0,2446.545176,2095.061393,4842.417696,4683
,111,36.93339359,24.57784643,143.7502863,42.46098545,145.6965489,42.12423886,61.79667992,-6310.47548,42.91527557,279.8143807,42.08185745,179.132553,1398.278974,35.33730579,98.22766093,13845.30351,275000,274496.2412,46.13727953,101.0309172,4.532300658,0.125453863,0.181199731,-0.849510302,0.479333113,19.55326585,4075.925651,0.977845925,0.783654394,0.58493912,3985.627288,3.649035095,1137.655294,1137.655294,0,-0.365262626,0.000407006,-6.635075003,-6.501842556,-13.89907934,42.99012406,15.37804122,10.88327601,13845.30351,-111.7482236,460.8977577,0.125226731,240.0541345,0,2466.343519,2114.534827,4752.826017,4683
,112,37.74389284,25.37991002,143.7598335,42.45948795,145.7540258,42.11380891,63.03185833,-6308.83073,42.92052325,279.8762191,42.03303513,179.1167313,1411.954907,35.17332829,98.27055,13755.71183,275000,274549.9001,45.78337056,100.9998551,4.503679067,0.122743698,0.182723673,-0.849906515,0.478753547,19.71168917,3689.736686,0.960219478,0.743091876,0.608209554,3542.957034,3.672987254,1150.420284,1150.420284,0,-0.365262626,0.000407006,-6.61099393,-6.474554503,-13.88413996,43.03140694,15.67038917,11.17125036,13755.71183,-112.0079514,466.4977695,0.128071443,240.0886487,0,2486.270392,2134.167416,4663.234338,4683
,113,38.55901103,26.19535732,143.7695396,42.45796542,145.8127076,42.10314274,64.27824529,-6307.141063,42.92567244,279.9376592,41.98538038,179.1005702,1425.822603,35.00916303,98.31274817,13666.12016,275000,274597.6721,45.4295683,100.9694014,4.475586624,0.120032287,0.184245759,-0.850294094,0.478169117,19.86894971,3341.987149,0.943237627,0.70125679,0.630884792,3152.288028,3.697332856,1163.382549,1163.382549,0,-0.365262626,0.000407006,-6.586819334,-6.447108779,-13.86910674,43.06466491,15.96108675,11.46236942,13666.12016,-112.2435494,472.0736161,0.130833827,240.1196947,0,2506.327475,2153.957819,4573.642659,4683
,114,39.37878234,27.02437741,143.779407,42.45641758,145.872608,42.09223633,65.5357601,-6305.405513,42.93072213,279.9987107,41.93888643,179.0840668,1439.881102,34.8447983,98.35426112,13576.52848,275000,274640.2231,45.07587478,100.9395453,4.448011069,0.117319656,0.185765973,-0.850673033,0.477579828,20.02537638,3028.643786,0.92706176,0.658136388,0.652973968,2807.73984,3.722062698,1176.541108,1176.541108,0,-0.365262626,0.000407006,-6.562551275,-6.419504287,-13.85397893,43.09024652,16.25005252,11.75668154,13576.52848,-112.4573637,477.625229,0.133518703,240.147634,0,2526.516481,2173.905038,4484.05098,4683
,115,40.20323865,27.86715949,143.7894377,42.4548441,145.9337417,42.08108544,66.80433643,-6303.623077,42.93567153,280.0593847,41.89354503,179.0672179,1454.129744,34.68022563,98.39509562,13486.9368,275000,274678.1409,44.72229203,100.9102762,4.420940527,0.114605833,0.187284299,-0.851043329,0.476985688,20.18126677,2746.122581,0.911873887,0.613719646,0.6744863,2504.117472,3.747168743,1189.89529,1189.89529,0,-0.365262626,0.000407006,-6.538189905,-6.391740016,-13.83875584,43.10848086,16.53720375,12.05423429,13486.9368,-112.6515008,483.1525387,0.136131754,240.172789,0,2546.839156,2194.008393,4394.459302,4683
,116,41.0324097,28.72389298,143.7996342,42.45324471,145.996124,42.06968564,68.08392081,-6301.792708,42.94052005,280.1196938,41.84934656,179.0500198,1468.568143,34.51543932,98.43525936,13397.34512,275000,274711.945,44.36882208,100.8815837,4.394363503,0.111890845,0.188800723,-0.851404978,0.476386701,20.33689092,2491.235072,0.897876258,0.567997166,0.69543106,2236.820825,3.772644001,1203.444699,1203.444699,0,-0.365262626,0.000407006,-6.513735458,-6.363815027,-13.82343681,43.11967898,16.82245669,12.35507451,13397.34512,-112.8278534,488.6554747,0.138679611,240.1954475,0,2567.297282,2214.267483,4304.867623,4683
,117,41.86632332,29.59476774,143.8099986,42.45161909,146.0597709,42.05803226,69.37447137,-6299.913318,42.94526725,280.1796517,41.80628033,179.0324687,1483.196162,34.35043604,98.47476078,13307.75344,275000,274742.0949,44.01546693,100.853458,4.368268862,0.109174721,0.190315228,-0.851757977,0.475782873,20.49249459,2261.141637,0.885290193,0.52096108,0.715817542,2001.766516,3.798482422,1217.189191,1217.189191,0,-0.365262626,0.000407006,-6.489188251,-6.33572845,-13.80802122,43.12413512,17.10572668,12.65924828,13307.75344,-112.9881232,494.1339659,0.141169932,240.2158664,0,2587.892678,2234.682168,4215.275944,4683
,118,42.70500559,30.47997421,143.8205333,42.44996694,146.1246993,42.04612043,70.67595668,-6297.983777,42.94991287,280.2392731,41.76433468,179.0145601,1498.013889,34.18521443,98.51360904,13218.16176,275000,274768.9972,43.6622286,100.8258897,4.342645813,0.106457487,0.1918278,-0.852102322,0.475174212,20.64830225,2053.31076,0.874353878,0.472604967,0.735655041,1795.320227,3.824678803,1231.128852,1231.128852,0,-0.365262626,0.000407006,-6.464548672,-6.30747948,-13.79250846,43.12212788,17.38692839,12.96680087,13218.16176,-113.1338414,499.5879412,0.143611494,240.2342753,0,2608.627196,2255.252541,4125.684265,4683
,119,43.548481,31.37970355,143.8312405,42.44828795,146.1909265,42.03394507,71.98835477,-6296.002913,42.95445677,280.2985736,41.72349715,178.9962897,1513.021621,34.01977486,98.55181383,13128.57008,275000,274793.012,43.3091091,100.7988694,4.317483902,0.103739172,0.193338423,-0.852438009,0.474560722,20.80451953,1865.483435,0.865318951,0.422923764,0.754952832,1614.23817,3.8512287,1245.263975,1245.263975,0,-0.365262626,0.000407006,-6.43981718,-6.279067369,-13.77689797,43.11392122,17.66597596,13.27777671,13128.57008,-113.2663864,505.0173294,0.146014272,240.2508793,0,2629.502731,2275.978909,4036.092586,4683
,120,44.39677256,32.29414778,143.8421224,42.44658181,146.2584708,42.02150087,73.31165221,-6293.969513,42.95889896,280.3575696,41.68375462,178.9776524,1528.219846,33.85411914,98.58938535,13038.9784,275000,274814.458,42.95611043,100.7723883,4.292772995,0.101019803,0.194847081,-0.852765035,0.473942411,20.96133556,1695.641997,0.858445713,0.371913699,0.77372015,1455.616604,3.87812836,1259.595044,1259.595044,0,-0.365262626,0.000407006,-6.414994302,-6.250491422,-13.76118921,43.09976549,17.94278317,13.59221934,13038.9784,-113.3870004,510.4220598,0.148389526,240.2658619,0,2650.521213,2296.861779,3946.500907,4683
,121,45.24990195,33.2234999,143.8531815,42.44484822,146.3273509,42.00878233,74.6458434,-6291.88232,42.96323955,280.4162781,41.64509341,178.958643,1543.609226,33.68825025,98.62633417,12949.38672,275000,274833.6179,42.60323461,100.7464379,4.268503268,0.098299407,0.196353759,-0.853083397,0.473319285,21.1189249,1541.982789,0.853996967,0.319572216,0.791966181,1316.848624,3.905374651,1274.122722,1274.122722,0,-0.365262626,0.000407006,-6.390080625,-6.221750995,-13.74538167,43.07989827,18.21726361,13.91017134,12949.38672,-113.4968028,515.8020621,0.150749891,240.2793874,0,2671.684614,2317.901838,3856.909229,4683
,122,46.10788958,34.167954,143.8644199,42.44308687,146.3975862,41.99578372,75.99092983,-6289.740036,42.96747875,280.4747169,41.6074994,178.9392563,1559.190586,33.52217221,98.66267122,12859.79505,275000,274850.7424,42.25048365,100.72101,4.244665194,0.095578013,0.197858443,-0.853393091,0.47269135,21.27744934,1402.892131,0.852230623,0.265897911,0.809700043,1195.587635,3.932965011,1288.84783,1288.84783,0,-0.365262626,0.000407006,-6.365076796,-6.192845489,-13.72947486,43.05454519,18.4893308,14.23167425,12859.79505,-113.5968034,521.1572663,0.153109461,240.2916027,0,2692.994945,2339.099941,3767.31755,4683
,123,46.97075476,35.12770538,143.8758401,42.44129743,146.4691968,41.98249908,77.34691954,-6287.541316,42.97161686,280.5329043,41.57095807,178.9194864,1574.9649,33.35588983,98.69840771,12770.20337,275000,274866.0537,41.89785955,100.6960966,4.221249531,0.092855648,0.199361116,-0.853694115,0.472058612,21.43705942,1276.925187,0.853391447,0.210890471,0.826930784,1089.717033,3.960897392,1303.771343,1303.771343,0,-0.365262626,0.000407006,-6.339983521,-6.163774352,-13.71346829,43.02392069,18.75889842,14.55676846,12770.20337,-113.6879137,526.4876038,0.15548388,240.3026394,0,2714.454261,2360.457099,3677.725871,4683
,124,47.83851572,36.10295064,143.8874443,42.43947959,146.5422032,41.96892227,78.7138231,-6285.284777,42.97565428,280.5908587,41.53545473,178.8993274,1590.933232,33.18940834,98.73355498,12680.61169,275000,274879.7667,41.54536435,100.6716899,4.198247317,0.090132339,0.200861764,-0.853986464,0.471421077,21.59768003,1168.40703,0.857702554,0.154550624,0.843667399,1002.145694,3.999087063,1318.89432,1318.89432,0,-0.365262626,0.000407006,-6.31480156,-6.134537068,-13.69736152,42.98822867,19.02588035,14.88549314,12680.61169,-113.7710107,531.7930064,0.157890431,240.3126153,0,2736.06466,2381.974415,3588.134192,4683
,125,48.71118952,37.09388762,143.899235,42.43763302,146.6166253,41.95504715,80.09163538,-6282.969029,42.97959141,280.6485984,41.50097495,178.8787736,1607.096448,33.0227318,98.76812424,12591.02001,275000,274892.1293,41.19300005,100.6477827,4.175649854,0.087408114,0.202360371,-0.854270137,0.470778753,21.759348,1072.768785,0.865357526,0.096880159,0.859919009,928.3285424,4.04554963,1334.217622,1334.217622,0,-0.365262626,0.000407006,-6.289531729,-6.10513317,-13.6811541,42.94766321,19.29019084,15.21788606,12591.02001,-113.8472273,537.0734069,0.160348127,240.3216314,0,2757.828285,2403.652797,3498.542513,4683
,126,49.58879221,38.10071548,143.9112144,42.43575741,146.6924851,41.9408671,81.48038,-6280.592592,42.98342878,280.7061429,41.4675035,178.8578186,1623.455911,32.85586674,98.80212725,12501.42833,275000,274903.2772,40.84076869,100.6243678,4.153448699,0.084683001,0.203856922,-0.854545131,0.470131646,21.92265818,984.4193029,0.876513126,0.037881777,0.875694398,862.8564407,4.092623731,1349.742606,1349.742606,0,-0.365262626,0.000407006,-6.264174903,-6.075562229,-13.66484563,42.90240908,19.55174463,15.55398342,12501.42833,-113.91725,542.328739,0.162877802,240.3297759,0,2779.747323,2425.493659,3408.950834,4683
,127,50.471339,39.12363504,143.923385,42.43385242,146.7698055,41.92637515,82.88009546,-6278.153923,42.98716702,280.7635126,41.43502483,178.8364554,1640.013255,32.68882078,98.83557605,12411.83665,275000,274913.3237,40.4886723,100.6014384,4.13163566,0.081957028,0.205351401,-0.854811442,0.469479762,22.08770389,902.8481813,0.891284611,-0.022440972,0.891002146,804.6946902,4.140314314,1365.470906,1365.470906,0,-0.365262626,0.000407006,-6.238732001,-6.045823849,-13.64843569,42.85264233,19.81045717,15.89381985,12411.83665,-113.9815433,547.5589376,0.165502201,240.3371291,0,2801.824011,2447.498692,3319.359156,4683
,128,51.35884442,40.16284891,143.9357491,42.43191772,146.8486102,41.91156412,84.2908232,-6275.651434,42.99080681,280.820728,41.40352338,178.8146768,1656.770199,32.5216016,98.86848267,12322.24497,275000,274922.3721,40.13671293,100.5789877,4.11020278,0.079230222,0.206843795,-0.855069067,0.468823108,22.25457159,827.5774293,0.909743523,-0.084083713,0.90585074,752.8832064,4.188626576,1381.404234,1381.404234,0,-0.365262626,0.000407006,-6.213203989,-6.015917664,-13.63192391,42.79853076,20.06624471,16.23742823,12322.24497,-114.0405389,552.7639389,0.168246074,240.3437643,0,2824.060632,2469.669674,3229.767477,4683
,129,52.25132232,41.21856153,143.9483093,42.42995297,146.9289233,41.89642657,85.71260749,-6273.083485,42.99434887,280.8778098,41.37298363,178.7924752,1673.728544,32.35421687,98.90085916,12232.65329,275000,274930.5167,39.78489264,100.5570095,4.089142335,0.076502611,0.208334086,-0.855318006,0.46816169,22.42334679,758.1595962,0.931917991,-0.147041287,0.920248574,706.542568,4.23756596,1397.544387,1397.544387,0,-0.365262626,0.000407006,-6.18759188,-5.985843339,-13.6153099,42.74023442,20.31902448,16.58483954,12232.65329,-114.0946393,557.9436804,0.17113627,240.3497484,0,2846.459521,2492.008471,3140.175798,4683
