RLV Sizing
LEO Mission
lng_LS=, 1.434567840000000e+002,latg_LS=, 4.250403800000000e+001,g0=, 9.806649999999999e+000,GM=, 3.986009017000000e+014,Re=, 6.378142000000000e+003,Rp=, 6.356757000000000e+003,Omega=, 4.178074625000000e-003,EularL1L2[0]=, 0.000000000000000e+000,EularL1L2[1]=, 0.000000000000000e+000,EularL1L2[2]=, 1.150000000000000e+002,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Payload.Weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp,TAIKI-SEIKA.Range,TAIKI-SEIKA.Tlookang,Rou,Ta,
Start, 0.000000000000000e+000, 5.000000000031816e-002, 0.000000000000000e+000, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.090371457990000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.090371457990000e+004, 5.371457990000000e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 0.000000000000000e+000, 0.000000000000000e+000, 1.219135556295125e+000, 1.467500255630915e+001,
LIFTOFF, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.090371457990000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 8.980836148281499e+001, 3.599999999999905e+002,-1.150000000000095e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.090371457990000e+004, 5.371457990000000e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.215407708215528e+002, 8.944824557643275e+001, 1.219135556295125e+000, 1.467500255630915e+001,
, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840697174e+002, 4.250403873198476e+001,-9.667557680982100e+000,-6.372136501254286e+003, 4.231239948281014e+001, 2.700000000000000e+002, 5.345678400000001e+001, 1.800000000000000e+002, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.090371457990000e+004, 4.950000000000000e+005, 3.789638821111965e+005, 8.980836148281499e+001, 3.599999999999905e+002,-1.150000000000095e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.226272916582259e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.090371457990000e+004, 5.371457990000000e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.215407708215528e+002, 8.944824557643275e+001, 1.219135556295125e+000, 1.467500255630915e+001,
, 1.000000000000000e+000, 5.124021196643652e-002, 1.713991138456667e-004, 1.434567839981202e+002, 4.250403799961362e+001, 1.434567840498654e+002, 4.250403887873297e+001,-9.666001144200891e+000,-6.372136512824873e+003, 4.231239953892717e+001, 2.699992519623439e+002, 5.346303469221008e+001, 1.799992153657613e+002, 3.434231096406774e+002, 4.156305314952136e-001, 8.999860476944207e+001, 3.074244955580284e+004, 4.950000000000000e+005, 3.789809621534174e+005, 8.980833669211748e+001, 3.590791646311476e+002,-1.159236530997657e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.232753289307297e+001, 3.782650172581071e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.325034459059055e-003, 2.491225106313466e+000, 2.491225106313466e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777322846951916e+000,-7.737566699943054e+000,-1.456518726682573e+001,-1.465506997294201e-001,-5.417069998046050e-001,-8.771307853531897e-001, 3.074244955580284e+004, 5.371457990000000e+001,-2.586470785953620e-005, 3.547175496478101e-002, 0.000000000000000e+000, 3.764409209670493e+000, 0.000000000000000e+000, 1.605943000983609e+001, 1.229499493545773e+001, 2.166773497590284e+004, 4.683000000000000e+003, 1.215407827552235e+002, 8.944767202695732e+001, 1.218990245354447e+000, 1.466694130691633e+001,
, 2.000000000000000e+000, 5.500432795096058e-002, 1.840382997737963e-004, 1.434567839849043e+002, 4.250403800163659e+001, 1.434567839732724e+002, 4.250403909634033e+001,-9.661254495864341e+000,-6.372136547701193e+003, 4.231239971056083e+001, 2.699984843302985e+002, 5.346933982026494e+001, 1.799984100630216e+002, 3.434499751221764e+002, 8.421685030230914e-001, 8.999717288652762e+001, 3.058118453170569e+004, 4.950000000000000e+005, 3.790327885762692e+005, 8.980826234083328e+001, 3.581588083011228e+002,-1.168468271530660e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.239399084002928e+001, 1.552624690618187e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.484368910149088e-002, 5.048085357765098e+000, 5.048085357765098e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777198794469202e+000,-7.737441706344638e+000,-1.456512185465918e+001,-1.321957040305544e-001,-5.399326332409540e-001,-8.760314929643670e-001, 3.058118453170569e+004, 5.371457990000000e+001,-2.118133143476588e-004, 1.431249741396859e-001, 0.000000000000000e+000, 7.547495556906743e+000, 0.000000000000000e+000, 3.220332455980837e+001, 2.465561718958728e+001, 2.150646995180569e+004, 4.683000000000000e+003, 1.215408190503711e+002, 8.944590888795109e+001, 1.218549299616815e+000, 1.464247496193974e+001,
, 3.000000000000000e+000, 6.135882085587396e-002, 2.054065347605406e-004, 1.434567839488576e+002, 4.250403799952949e+001, 1.434567838083463e+002, 4.250403939783826e+001,-9.653198618899296e+000,-6.372136606137034e+003, 4.231240000281073e+001, 2.699976965673143e+002, 5.347570080705616e+001, 1.799975835676298e+002, 3.434965557818767e+002, 1.279845059776878e+000, 8.999570338565799e+001, 3.041991950760853e+004, 4.950000000000000e+005, 3.791202380590891e+005, 8.980813848939671e+001, 3.572394085587750e+002,-1.177690446033133e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.246214536023646e+001, 3.584222111903451e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.256159882916244e-002, 7.672264137104116e+000, 7.672264137104116e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776989368616525e+000,-7.737230694861631e+000,-1.456501142767590e+001,-1.079619297492234e-001,-5.369371913435522e-001,-8.741756991472386e-001, 3.041991950760853e+004, 5.371457990000000e+001,-7.317574052076344e-004, 3.248429351994306e-001, 0.000000000000000e+000, 1.134830293711652e+001, 0.000000000000000e+000, 4.843257683183633e+001, 3.708354213731460e+001, 2.134520492770853e+004, 4.683000000000000e+003, 1.215408805842538e+002, 8.944292482680717e+001, 1.217805183374302e+000, 1.460117151413738e+001,
, 4.000000000000000e+000, 7.037186803258365e-002, 2.358277038984337e-004, 1.434567838783070e+002, 4.250403800242489e+001, 1.434567835178334e+002, 4.250403979500843e+001,-9.641709478085431e+000,-6.372136688395695e+003, 4.231240042102002e+001, 2.699968881241552e+002, 5.348211911190624e+001, 1.799967353410500e+002, 3.435644270147586e+002, 1.728890631913564e+000, 8.999419527658930e+001, 3.025865448351138e+004, 4.950000000000000e+005, 3.792441822388941e+005, 8.980796523699496e+001, 3.563214399846800e+002,-1.186898308620694e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.253203904252935e+001, 6.536585527351134e+001, 2.936733014355506e-002,-2.689032825497019e-002, 1.180467564255732e-002, 1.919620651933047e+000, 3.048458399275025e-002, 1.036548750481786e+001, 1.036548750481786e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776692319841130e+000,-7.736931401510395e+000,-1.456485480142707e+001,-7.358937151558376e-002,-5.326885397981688e-001,-8.715434991760971e-001, 3.025865448351138e+004, 5.371457990000000e+001,-1.775440432677756e-003, 5.825434360733066e-001, 1.868217314219724e-007, 1.516583112463960e+001, 0.000000000000000e+000, 6.474809425079266e+001, 4.958048762867221e+001, 2.118393990361138e+004, 4.683000000000000e+003, 1.215409684273815e+002, 8.943868770902438e+001, 1.216750347105494e+000, 1.454258792151751e+001,
, 5.000000000000000e+000, 8.211339407485663e-002, 2.757225611268211e-004, 1.434567837613957e+002, 4.250403800392467e+001, 1.434567830597002e+002, 4.250404029814231e+001,-9.626657899080783e+000,-6.372136794750313e+003, 4.231240097078761e+001, 2.699960584371900e+002, 5.348859623080845e+001, 1.799958648318888e+002, 3.436552555001506e+002, 2.189534153016761e+000, 8.999264754426712e+001, 3.009738945941422e+004, 4.950000000000000e+005, 3.794054859188589e+005, 8.980774272120918e+001, 3.554053727357939e+002,-1.196087157643934e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.260371466284770e+001, 1.047560449031451e+002, 3.628916336239711e-002,-3.316120132017057e-002, 1.473900273330262e-002, 3.801509226688840e+000, 3.861865526639093e-002, 1.312952441591448e+001, 1.312952441591448e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776305341081712e+000,-7.736541504404646e+000,-1.456465076116776e+001,-2.881138065511063e-002,-5.271537224784398e-001,-8.681144792992996e-001, 3.009738945941422e+004, 5.371457990000000e+001,-3.549275968970511e-003, 9.181778711811395e-001, 2.259772361238002e-006, 1.899903462331719e+001, 0.000000000000000e+000, 8.115079878895244e+001, 6.214821420019252e+001, 2.102267487951422e+004, 4.683000000000000e+003, 1.215410838591041e+002, 8.943316457821315e+001, 1.215377238111218e+000, 1.446626983296187e+001,
, 6.000000000000000e+000, 9.665511379867137e-002, 3.256121641632840e-004, 1.434567835860773e+002, 4.250403800510458e+001, 1.434567823883749e+002, 4.250404091629696e+001,-9.607909339283651e+000,-6.372136925484164e+003, 4.231240165798045e+001, 2.699952069285536e+002, 5.349513369662905e+001, 1.799949714755805e+002, 3.437708033127808e+002, 2.662002206607044e+000, 8.999105914868646e+001, 2.993612443531706e+004, 4.950000000000000e+005, 3.796050051572433e+005, 8.980747111750911e+001, 3.544916711241157e+002,-1.205252349901702e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.267721513377505e+001, 1.546949058899888e+002, 4.304928715548060e-002,-3.928502592110488e-002, 1.760477370613738e-002, 6.659505425148176e+000, 4.697001866331318e-002, 1.596618688750092e+001, 1.596618688750092e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775826066360366e+000,-7.736058622338354e+000,-1.456439806111556e+001, 2.664546989740576e-002,-5.202989414017699e-001,-8.638677043345685e-001, 2.993612443531706e+004, 5.371457990000000e+001,-6.277202454045381e-003, 1.333730097192367e+000, 5.299946761877981e-006, 2.284682322387462e+001, 0.000000000000000e+000, 9.764162727862059e+001, 7.478852523696571e+001, 2.086140985541706e+004, 4.683000000000000e+003, 1.215412283841887e+002, 8.942632163605038e+001, 1.213678311995885e+000, 1.437175131287802e+001,
, 7.000000000000000e+000, 1.140705753731176e-001, 3.861076179644975e-004, 1.434567833401096e+002, 4.250403800723573e+001, 1.434567814555003e+002, 4.250404165770846e+001,-9.585323650301689e+000,-6.372137080890982e+003, 4.231240248874676e+001, 2.699943330062703e+002, 5.350173307927017e+001, 1.799940546941384e+002, 3.439129320781817e+002, 3.146518097857981e+000, 8.998942902477781e+001, 2.977485941121991e+004, 4.950000000000000e+005, 3.798435852331989e+005, 8.980715063857879e+001, 3.535807922400539e+002,-1.214389314407506e+002, 4.472909312038840e-001,-6.150367496246011e-002,-8.074655842418232e-001, 3.796675533857030e-001, 1.275258345196081e+001, 2.158872103525290e+002, 4.964965223410105e-002,-4.526377859999796e-002, 2.040290813140352e-002, 1.071872491579329e+001, 5.554508070380216e-002, 1.887733011495605e+001, 1.887733011495605e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775252069370058e+000,-7.735480313364304e+000,-1.456409542370691e+001, 9.306150723526005e-002,-5.120895366498180e-001,-8.587817052348270e-001, 2.977485941121991e+004, 5.371457990000000e+001,-1.020155010660005e-002, 1.831215071459700e+000, 9.471507683942023e-006, 2.670806021695308e+001, 0.000000000000000e+000, 1.142215317332025e+002, 8.750326708316325e+001, 2.070014483131991e+004, 4.683000000000000e+003, 1.215414037504289e+002, 8.941812422219884e+001, 1.211646045030165e+000, 1.425855456512755e+001,
